Model Name	Model	Dataset	Epochs	Local Epochs	Local Batch Size	Learning Rate	Optimizer	IID	Accuracy
fedasync for eurosat	 cnn	 eurosat	2	10	8	0.01	 sgd	0	0.138518519
fedasync for eurosat	 cnn	 eurosat	2	10	20	0.01	 sgd	0	0.143333333
fedasync for eurosat	 cnn	 eurosat	2	10	32	0.01	 sgd	0	0.147777778
fedasync for eurosat	 cnn	 eurosat	2	20	8	0.01	 sgd	0	0.185740741
fedasync for eurosat	 cnn	 eurosat	2	20	20	0.01	 sgd	0	0.111481481
fedasync for eurosat	 cnn	 eurosat	2	20	32	0.01	 sgd	0	0.175740741
fedasync for eurosat	 cnn	 eurosat	2	30	8	0.01	 sgd	0	0.217962963
fedasync for eurosat	 cnn	 eurosat	2	30	20	0.01	 sgd	0	0.130925926
fedasync for eurosat	 cnn	 eurosat	2	30	32	0.01	 sgd	0	0.111851852
fedleo for eurosat	 cnn	 eurosat	2	10	8	0.01	 sgd	0	0.17037037
fedleo for eurosat	 cnn	 eurosat	2	10	20	0.01	 sgd	0	0.206851852
fedleo for eurosat	 cnn	 eurosat	2	10	32	0.01	 sgd	0	0.111481481
fedleo for eurosat	 cnn	 eurosat	2	20	8	0.01	 sgd	0	0.166111111
fedleo for eurosat	 cnn	 eurosat	2	20	20	0.01	 sgd	0	0.202037037
fedleo for eurosat	 cnn	 eurosat	2	20	32	0.01	 sgd	0	0.145
fedleo for eurosat	 cnn	 eurosat	2	30	8	0.01	 sgd	0	0.28037037
fedleo for eurosat	 cnn	 eurosat	2	30	20	0.01	 sgd	0	0.173703704
fedleo for eurosat	 cnn	 eurosat	2	30	32	0.01	 sgd	0	0.175740741
fedasync for eurosat	 resnet18	 eurosat	2	10	8	0.01	 sgd	0	0.107592593
fedasync for eurosat	 resnet18	 eurosat	2	10	20	0.01	 sgd	0	0.160740741
fedasync for eurosat	 resnet18	 eurosat	2	10	32	0.01	 sgd	0	0.108888889
fedasync for eurosat	 resnet18	 eurosat	2	20	8	0.01	 sgd	0	0.092592593
fedasync for eurosat	 resnet18	 eurosat	2	20	20	0.01	 sgd	0	0.092777778
fedasync for eurosat	 resnet18	 eurosat	2	20	32	0.01	 sgd	0	0.109444444
fedasync for eurosat	 resnet18	 eurosat	2	30	8	0.01	 sgd	0	0.176481481
fedasync for eurosat	 resnet18	 eurosat	2	30	20	0.01	 sgd	0	0.114259259
fedasync for eurosat	 resnet18	 eurosat	2	30	32	0.01	 sgd	0	0.111481481
fedleo for eurosat	 resnet18	 eurosat	2	10	8	0.01	 sgd	0	0.162407407
fedleo for eurosat	 resnet18	 eurosat	2	10	20	0.01	 sgd	0	0.156296296
fedleo for eurosat	 resnet18	 eurosat	2	10	32	0.01	 sgd	0	0.090185185
fedleo for eurosat	 resnet18	 eurosat	2	20	8	0.01	 sgd	0	0.11037037
fedleo for eurosat	 resnet18	 eurosat	2	20	20	0.01	 sgd	0	0.177777778
fedleo for eurosat	 resnet18	 eurosat	2	20	32	0.01	 sgd	0	0.141666667
fedleo for eurosat	 resnet18	 eurosat	2	30	8	0.01	 sgd	0	0.143703704
fedleo for eurosat	 resnet18	 eurosat	2	30	20	0.01	 sgd	0	0.130792236
fedleo for eurosat	 resnet18	 eurosat	2	30	32	0.01	 sgd	0	0.129775882
fedasync for cifar	 cnn	 cifar	2	10	8	0.01	 sgd	1	0.2689
fedasync for cifar	 cnn	 cifar	2	10	20	0.01	 sgd	1	0.1114
fedasync for cifar	 cnn	 cifar	2	10	32	0.01	 sgd	1	0.1069
fedasync for cifar	 cnn	 cifar	2	20	8	0.01	 sgd	1	0.2854
fedasync for cifar	 cnn	 cifar	2	20	20	0.01	 sgd	1	0.1572
fedasync for cifar	 cnn	 cifar	2	20	32	0.01	 sgd	1	0.1621
fedasync for cifar	 cnn	 cifar	2	30	8	0.01	 sgd	1	0.3457
fedasync for cifar	 cnn	 cifar	2	30	20	0.01	 sgd	1	0.2779
fedasync for cifar	 cnn	 cifar	2	30	32	0.01	 sgd	1	0.1751
fedleo for cifar	 cnn	 cifar	2	10	8	0.01	 sgd	1	0.2989
fedleo for cifar	 cnn	 cifar	2	10	20	0.01	 sgd	1	0.161
fedleo for cifar	 cnn	 cifar	2	10	32	0.01	 sgd	1	0.1043
fedleo for cifar	 cnn	 cifar	2	20	8	0.01	 sgd	1	0.4004
fedleo for cifar	 cnn	 cifar	2	20	20	0.01	 sgd	1	0.2721
fedleo for cifar	 cnn	 cifar	2	20	32	0.01	 sgd	1	0.2157
fedleo for cifar	 cnn	 cifar	2	30	8	0.01	 sgd	1	0.4075
fedleo for cifar	 cnn	 cifar	2	30	20	0.01	 sgd	1	0.3357
fedleo for cifar	 cnn	 cifar	2	30	32	0.01	 sgd	1	0.3103
fedasync for cifar	 cnn	 cifar	10	10	8	0.01	 sgd	1	0.4135
fedasync for cifar	 cnn	 cifar	10	10	20	0.01	 sgd	1	0.3232
fedasync for cifar	 cnn	 cifar	10	10	32	0.01	 sgd	1	0.2754
fedasync for cifar	 cnn	 cifar	10	20	8	0.01	 sgd	1	0.3907
fedasync for cifar	 cnn	 cifar	10	20	20	0.01	 sgd	1	0.3906
fedasync for cifar	 cnn	 cifar	10	20	32	0.01	 sgd	1	0.3714
fedasync for cifar	 cnn	 cifar	10	30	8	0.01	 sgd	1	0.3693
fedasync for cifar	 cnn	 cifar	10	30	20	0.01	 sgd	1	0.375
fedasync for cifar	 cnn	 cifar	10	30	32	0.01	 sgd	1	0.3827
fedleo for cifar	 cnn	 cifar	10	10	8	0.01	 sgd	1	0.4479
fedleo for cifar	 cnn	 cifar	10	10	20	0.01	 sgd	1	0.4555
fedleo for cifar	 cnn	 cifar	10	10	32	0.01	 sgd	1	0.3395
fedleo for cifar	 cnn	 cifar	10	20	8	0.01	 sgd	1	0.4391
fedleo for cifar	 cnn	 cifar	10	20	20	0.01	 sgd	1	0.4469
fedleo for cifar	 cnn	 cifar	10	20	32	0.01	 sgd	1	0.4296
fedleo for cifar	 cnn	 cifar	10	30	8	0.01	 sgd	1	0.4339
fedleo for cifar	 cnn	 cifar	10	30	20	0.01	 sgd	1	0.4407
fedleo for cifar	 cnn	 cifar	10	30	32	0.01	 sgd	1	0.4336
fedasync for eurosat	 resnet18	 eurosat	10	10	8	0.01	 sgd	0	0.128703704
fedasync for eurosat	 resnet18	 eurosat	10	10	20	0.01	 sgd	0	0.228888889
fedasync for eurosat	 resnet18	 eurosat	10	10	32	0.01	 sgd	0	0.117777778
fedasync for eurosat	 resnet18	 eurosat	10	20	8	0.01	 sgd	0	0.196111111
fedasync for eurosat	 resnet18	 eurosat	10	20	20	0.01	 sgd	0	0.162407407
fedasync for eurosat	 resnet18	 eurosat	10	20	32	0.01	 sgd	0	0.207037037
fedasync for eurosat	 resnet18	 eurosat	10	30	8	0.01	 sgd	0	0.180740741
fedasync for eurosat	 resnet18	 eurosat	10	30	20	0.01	 sgd	0	0.21462963
fedasync for eurosat	 resnet18	 eurosat	10	30	32	0.01	 sgd	0	0.151481481
fedleo for eurosat	 resnet18	 eurosat	10	10	8	0.01	 sgd	0	0.324074074
fedleo for eurosat	 resnet18	 eurosat	10	10	20	0.01	 sgd	0	0.3
fedleo for eurosat	 resnet18	 eurosat	10	10	32	0.01	 sgd	0	0.202222222
fedleo for eurosat	 resnet18	 eurosat	10	20	8	0.01	 sgd	0	0.416851852
